City,Weight,Latitude,Longitude
Col de la Loze,1,45.407597,6.6026501
Col du Tourmalet,2,42.9083745,0.1452684
Colmar,15,48.0777517,7.3579641
Cologne,1,50.938361,6.959974
Colombey-les-deux-Églises,1,48.2230053,4.8873124
Colomiers,3,43.6112476,1.3367443
Combloux,1,45.8949213,6.6448413
Commercy,1,48.763203,5.5914753
Compiègne,4,49.4179497,2.8263171
Concarneau,2,47.8757017,-3.9223889
Copenhague,4,55.6867243,12.5700724
Corbeil-Essonnes,2,48.6137734,2.4818087
Cork,1,51.8985136,-8.4726423
Corrèze,1,45.3429047,1.8176424
Cosne,1,47.674757,4.6679843
Courchevel,7,45.4140984,6.6349892
Crans-Montana,2,46.3304899,7.5264358
Créteil,5,48.7771486,2.4530731
Cugnaux,1,43.5369936,1.3457537
Culoz,1,45.8476517,5.7809063
Cuneo,1,44.4580703,7.5581367
Damazan,1,44.2899682,0.2751527
Dax,10,43.7084065,-1.0518771
Deauville,2,49.353753,0.0767491
Dieppe,18,49.9246182,1.0791444
Digne-les-Bains,23,44.0918144,6.2351431
Dijon,31,47.3215806,5.0414701
Dinan,12,48.4539775,-2.047687
Dinant,1,50.2591813,4.9130588
Dinard,10,48.6320379,-2.0580178
Disneyland-Paris,4,48.8700934,2.7740499
Divonne,14,46.3570916,6.143049
Dole,5,47.0921047,5.4925463
Domaine du Rouret,2,44.3794134,4.2684886
Douai,1,50.3675677,3.0804641
Douvres,1,45.9893837,5.3733069
Draguignan,2,43.5374662,6.4627333
Dreux,1,48.7358807,1.3684254
Dublin,4,53.3493795,-6.2605593
Dunkerque,39,51.0347708,2.3772525
Düsseldorf,3,51.2254018,6.7763137
Embrun,7,44.5641764,6.4958189
Ennezat,1,45.8976947,3.2208875
Enniscothy,1,52.502307,-6.566305
Épernay,7,49.042561,3.9528655
Epinal,8,48.1747684,6.4503643
Epinay-sous-Sénart,1,48.6953018,2.5159134
Escaldes-Engordany,1,42.486196,1.6037711
Esch-sur-Alzette,3,49.4959628,5.9850306
Espelette,1,43.3411726,-1.448083
Etampes,1,48.4344621,2.1614464
Eurotunnel,1,51.0961627,1.1209371
Évaux-les-Bains,1,46.176149,2.4870429
Evian-les-Bains,29,46.400979,6.5897931
Evreux,6,49.0268903,1.1510164
Evry,2,48.6241665,2.4289667
Eymet,1,44.6681229,0.3984795
Fecamp,1,49.7577729,0.374891
Feldsberg,1,49.434955,6.50029
Figeac,3,44.6092335,2.0324321
Finhaut-Emosson,1,46.0683065,6.9358956
Flers,1,50.32053,2.25255
Fleurance,15,43.849295,0.6640617
Florence,1,43.7697955,11.2556404
Foix,6,42.9638998,1.6053807
Foix Prat d'Albis,1,42.9218632,1.5817497
Font Romeu,2,42.4965705,2.0416766
Fontaine,1,45.1950183,5.6869624
Fontaine-au-Pire,2,50.1285441,3.3747544
Fontainebleau,2,48.4049375,2.7015872
Fontenay-le-Comte,1,46.4660771,-0.8064003
Fontenay-sous-Bois,7,48.8490721,2.4749347
Forest,11,45.6950507,3.5389089
Forges-les-Eaux,2,49.613106,1.5455284
Fougères,6,48.3503362,-1.1958526
Francfort,5,50.1106444,8.6820917
Fribourg,7,46.6789116,7.1027113
Fribourg-en-Brisgau,2,47.9960901,7.8494005
Fromentine,1,46.8896706,-2.1366623
Frontignan-La-Peyrade,1,43.4264271,3.7266105
Futuroscope,18,46.6703886,0.3701164
Gaillac,1,43.9016766,1.8967943
Gaillard,4,46.1838437,6.211169
Gand,5,51.0538286,3.7250121
Gap,49,44.5612032,6.0820639
Genève,20,46.2017559,6.1466014
Gérardmer,4,48.0705772,6.8776965
Gérone,1,41.9793006,2.8199439
Gevrey-Chambertin,1,47.2261857,4.9705666
Gex,4,46.333849,6.0577244
Givors,1,45.5844238,4.7696529
Gourette,2,42.9438107,-0.3291295
gourette_col_d_aubisque,1,42.9582299,-0.3328199
Grand Colombier,2,45.9012319,5.7609029
Granville,3,48.8376296,-1.5959177
Grenoble,76,45.1875602,5.7357819
Gruissan,1,43.107039,3.0864971
Guéret,1,46.1689521,1.8715763
Gueugnon,1,46.6005232,4.0633825
Guzet-Neige,3,42.7791077,1.3020896
Harelbeke,3,50.857512,3.3113699
Harrogate,1,53.9921491,-1.5391039
Hasselt,2,50.9303735,5.3378043
Hautacam,8,43.0024054,-0.0147613
Hendaye,6,43.3641518,-1.7616499
Herenthals,3,51.5205265,5.5901077
Houilles,1,48.9229416,2.1868998
Huy,4,50.5180856,5.2408138
Hyères,2,43.1202573,6.1301614
Île de Ré Saint-Martin-de-Ré,1,46.2005378,-1.4002798
Ile d'Oléron,1,45.9254859,-1.2919938
Île d'Oléron Le Château-d'Oléron,1,45.8536209,-1.1810009
Isola 2000,2,44.1869246,7.1454412
